    Send    	    发送    
Request the root of all directories	请求所有目录的根目录
Request to ([a-z].*)	$1 请求
Request to Collaborator	对Collaborator的请求
Request to:	请求目标:
Request URL override(\s+\[[0-9]+\])?	请求URL覆盖$1
Request views	请求视图
requesting item ([0-9]+)	项目$1正在请求
Requesting robots.txt. ([0-9]+)h ([0-9]+)m maximum time remaining.	请求robots.txt。最大剩余时间$1时$2分。
Requesting robots.txt. ([0-9]+)m maximum time remaining.	请求robots.txt。最大剩余时间$1分。
Requesting seed URLs. ([0-9]+)h ([0-9]+)m maximum time remaining.	请求起始URL。最大剩余时间$1时$2分。
Requesting seed URLs. ([0-9]+)h maximum time remaining.	请求起始URL。最大剩余时间$1时。
Requesting seed URLs. ([0-9]+)m ([0-9]+)s maximum time remaining.	请求起始URL。最大剩余时间$1分$2秒
Requesting seed URLs. ([0-9]+)m maximum time remaining.	请求起始URL。最大剩余时间$1分。
Requesting seed URLs. ([0-9]+)s maximum time remaining.	请求起始URL。最大剩余时间$1秒
requests	仅验证每个请求
Requests	请求
Requests handled	处理请求
Requests made:	生成请求:
Requests queued:	排队的请求:
Requests:	请求:
Requires Burp Suite Professional	需要 Burp Suite 专业版
Resource	资源
Resource pool	资源池
Resource Pool	资源池
Resource pools	资源池
Response	响应
Response ([0-9]+)	响应$1
Response body	响应主体
Response Comparison	响应比较
Response completed	响应完成
Response diffing	响应差异
Response from ([a-z].*)	$1 来自响应
Response from Collaborator	来自Collaborator的响应
Response header	响应标头
Response Headers	响应标头
Response headers	响应标头
Response Headers \(([0-9]+)\)	响应标头($1)
Response interception rules	响应拦截规则
Response Modification	响应修改
Response modification rules	响应修改规则
Response received	接收响应
Response to this request	此请求的响应
Response views	响应视图
Responses	响应
Responses processed:	已处理的响应:
Responses queued for analysis:	排队等待分析的响应:
Responses queued:	排队响应:
Restart	重新启动
Restart Burp	重新启动Burp
Restore completed	恢复完成
Restore defaults	恢复默认值
Restore global defaults	恢复全局默认值
Restore legacy state file	恢复旧的状态文件
Restore original value	恢复原状
Restore setting from when Burp was last closed	恢复上次结束时的状态
Restore state	状态恢复
Restore state wizard	状态恢复向导
Restoring site map - please wait...	正在恢复站点地图 - 请稍等一下...
Restoring: ([0-9]+)% complete	正在恢复中: $1%完成
Restrict to requests containing these parameters:	限制为包含这些参数的请求:
Results	结果
Results Tab	结果标签
Results table	结果表
Resume	恢复
Resume active scanning	恢复主动扫描
Resume scanner	恢复扫描
Resume spidering	恢复爬虫
Resume task execution engine	恢复任务执行引擎
Resume task processing	恢复任务处理
Retest macro	重新测试宏
Retrying failed requests. Estimating time remaining...	重试失败的请求. 正在估计剩余时间...
Retrying failed requests: Authenticated crawl (random). ([0-9]+)h ([0-9]+)m estimated time remaining	重试失败的请求: 处于认证状态的爬行(随机)。剩余约$1时$2分
Retrying failed requests: Authenticated crawl (random). ([0-9]+)h estimated time remaining	重试失败的请求: 处于认证状态的爬行(随机)。剩余约$1时
Retrying failed requests: Authenticated crawl (random). ([0-9]+)m ([0-9]+)s estimated time remaining	重试失败的请求: 处于认证状态的爬行(随机)。剩余约$1分$2秒
Retrying failed requests: Authenticated crawl (random). ([0-9]+)m estimated time remaining	重试失败的请求: 处于认证状态的爬行(随机)。剩余约$1分
Retrying failed requests: Authenticated crawl (random). ([0-9]+)s estimated time remaining	重试失败的请求: 处于认证状态的爬行(随机)。剩余约$1秒
Retrying failed requests: Authenticated crawl (random). Estimating time remaining...	重试失败的请求: 处于认证状态的爬行(随机)。正在估计剩余时间...
Retrying failed requests: Requesting robots.txt. ([0-9]+)h ([0-9]+)m maximum time remaining.	重试失败的请求: 请求robots.txt。最大剩余时间$1时$2分。
Retrying failed requests: Requesting robots.txt. ([0-9]+)m maximum time remaining.	重试失败的请求: 请求robots.txt。最大剩余时间$1分。
Retrying failed requests: Requesting seed URLs. ([0-9]+)h ([0-9]+)m maximum time remaining.	重试失败的请求: 请求起始URL。最大剩余时间$1时$2分。
Retrying failed requests: Requesting seed URLs. ([0-9]+)m maximum time remaining.	重试失败的请求: 请求起始URL。最大剩余时间$1分。
Retrying failed requests: Unauthenticated crawl. ([0-9]+)h ([0-9]+)m maximum time remaining.	重试失败的请求: 未经认证的爬行。最大剩余时间$1时$2分。
Retrying failed requests: Unauthenticated crawl. ([0-9]+)m estimated time remaining.	重试失败的请求: 未经认证的爬行。估计剩余时间$1分。
Reverse substring	子字符串的反转
Revert	恢复原状
Revert changes	把变更恢复原状
Revert to the original list of items	返回到原始项目列表
Review the items you have selected for scanning. Double-click items to view full details. You can remove individual items which you do not wish to scan, or go back to modify your general filters.	检查您为扫描选择的项目。要查看更多信息，请双击项目。您可以排除不想扫描的单个项目，或者返回并更改常见的过滤器。
Right	右边
Robots.txt file(\s+\[[0-9]+\])?	Robots.txt文件$1
Ruby code injection(\s+\[[0-9]+\])?	Ruby代码注入$1
Ruby environment	Ruby环境
Ruby Environment	Ruby环境
Rule	规则
Rule ([0-9]+)	规则$1
Rule Actions	规则行动
Rule actions	规则行动
Rule description	规则描述
Rule Description	规则详细
Run a macro	执行宏
Run a post-request macro	请求后运行宏
Run Burp's browser without a sandbox	在没有沙盒的情况下运行Burp浏览器
Run health check ...	运行健康检查 ...
Run macro:	运行宏:
Run the macro again	重新运行宏
Run the macro to test the handling of parameters	在参数处理的测试中执行宏
Running	运行中
Running tasks	正在运行的任务
running this attack in the background?	在后台继续吗？
Running \(([,0-9]+) active threads?\)	正在运行中 (活动线程数 $1)
Running \(([0-9]+) active threads?, ([0-9]+) queued requests?\)	正在运行中 (活动线程$1个、排队的请求$2个)
Running \(([0-9]+) requests? in progress, ([0-9]+) requests? queued\)	正在运行中 (正在进行的请求$1个、排队的请求$2个)
Runtime file	运行时文件
Safe Mode	安全模式
Sample	样品
Sample size: ([0-9]+).	样品大小: $1 
Save	保存
Save active scanning areas options	保存主动扫描对象选项
Save active scanning engine options	保存主动扫描引擎选项
Save active scanning optimizati onoptions	保存主动扫描优化选项
Save active scanning optimization options	保存主动扫描优化选项
Save allowed redirect type settings	保存允许重定向类型设置
Save appearance settings	保存外观设置
Save application login options	保存应用程序登录选项
Save attack	保存攻击
Save attack config	保存攻击设置
Save attack insertion points options	保存攻击插入点选项
Save attack results options	保存攻击结果选项
Save attack to project file	将攻击保存到项目文件
Save automated tasks on startup settings	保存启动时的自动任务设置
Save automatic backup settings	保存自动备份设置
Save automatic project backup options	保存自动项目备份选项
Save automatic project backup settings	保存项目自动备份设置
Save browser data settings	保存浏览器数据设置
Save browser running settings	保存浏览器运行设置
Save Burp Collaborator server options	保存Burp Collaborator服务器选项
Save Burp Collaborator server settings	保存Burp协作者服务器设置
Save Burp Extender options	保存Burp Extender选项
Save Burp Extensions settings	保存Burp扩展设置
Save Burp's browser options	保存Burp浏览器选项
Save Burp's browser settings	保存Burp浏览器设置
Save cancelled	保存已取消
Save capture filter options	保存捕捉过滤器选项
Save character set options	保存字符集选项
Save character set settings	保存字符集设置
Save client SSL certificates options	保存客户端SSL证书选项
Save client TLS certificates options	保存客户端TLS证书选项
Save client TLS certificates settings	保存客户端TLS证书设置
Save completed	保存完了
Save configuration to library	将设置保存到库中
Save connections settings	保存连接设置
Save cookie jar options	保存cookie jar选项
Save cookie jar settings	保存cookie jar设置
Save copy	保存副本
Save copy of project	保存项目的副本
Save copy [not available on 32-bit systems]	保存副本 [32位系统不可用]
Save crawler options	保存克隆选项
Save Embedded browser options	保存内置浏览器选项
Save encrypted using master password	用主密码加密并保存
Save encrypted using master password:	用主密码加密并保存:
Save entire history	保存条目历史记录
Save extract grep options	保存提取grep选项
Save form submission options	保存表单发送选项
Save header row	保存标头行
Save hostname resolution options	保存主机名解决选项
Save hostname resolution settings	保存主机名解析设置
Save hotkey options	保存热键选项
Save hotkey settings	保存热键设置
Save HTML rendering options	保存HTML渲染选项
Save HTML rendering settings	保存HTML渲染设置
Save HTTP message display options	保存HTTP消息显示选项
Save HTTP message display settings	保存HTTP消息显示设置
Save HTTP message search options	保存HTTP消息搜索选项
Save HTTP message search settings	保存HTTP消息搜索设置
Save HTTP/1 settings	保存HTTP/1设置
Save http/1 settings	保存http/1设置
Save http/2 options	保存HTTP/2选项
Save http/2 settings	保存http/2设置
Save HTTP/2 settings	保存HTTP/2设置
Save in clear text	用明文保存
Save in project file	保存在项目文件中
Save in-scope items only	仅保存范围内的项目
Save In:	保存在:
Save inspector panel layout settings	保存inspector面板布局设置
Save inspector widget settings	保存inspector小组件设置
Save intercept client requests options	保存客户端任务拦截选项
Save intercept client requests settings	保存拦截客户端请求设置
Save intercept server responses options	保存服务器响应的拦截选项
Save intercept server responses settings	保存拦截服务端响应设置
Save intercept WebSockets messages options	保存WebSocket消息的拦截选项
Save intercept WebSockets messages settings	保存拦截WebSockets消息设置
Save interface files	保存接口文件
Save item	保存项目
Save items	保存项目
Save Java environment options	保存Java环境选项
Save Java environment settings	保存Java环境设置
Save Java TLS options settings	保存Java TLS选项设置
Save Java TLS settings	保存Java TLS设置
Save Javadoc files	保存Javadoc文件
Save Learn tab display settings	保存学习标签显示设置
Save Learn tab options	保存学习选项卡选项
Save Learn tab settings	保存学习标签设置
Save legacy state file	旧的状态文件保存
Save live active scanning options	保存实时主动扫描选项
Save live capture options	保存实时捕捉选项
Save live capture settings	保存实时捕获设置
Save live passive scanning options	保存实时被动扫描选项
Save logging options	保存记录选项
Save logging settings	保存记录设置
Save macros options	保存宏选项
Save macros settings	保存宏程序设置
Save match and replace options	保存搜索和替换选项
Save match and replace rules settings	保存匹配和替换规则设置
Save match and replace settings	保存匹配和替换设置
Save match grep options	保存匹配grep选项
Save message editor request views settings	保存消息编辑器请求视图设置
Save message editor response views settings	保存消息编辑器响应视图设置
Save message modification settings	保存信息修改设置
Save miscellaneous proxy options	保存其他代理选项
Save miscellaneous proxy settings	保存杂项代理设置
Save miscellaneous proxy settings options	保存其他代理配置选项
Save miscellaneous settings	保存杂项设置
Save my attack to the project file	在项目文件中保存攻击
Save options	保存选项
Save Options	保存选项
Save out-of-scope requests options	保存作用域以外的请求选项
Save out-of-scope requests settings	保存范围外请求设置
Save passive scanning areas options	保存被动扫描对象选项
Save passive spidering options	保存被动爬行选项
Save paySaves grep options	保存有效载荷grep选项
Save performance feedback options	保存性能反馈选项
Save performance feedback settings	保存性能反馈设置
Save platform authentication options	保存平台身份验证选项
Save platform authentication settings	保存平台认证设置
Save position & display options	保存位置和显示选项
Save position & display settings	保存位置和显示设置
Save project options	项目选项保存
Save project settings	保存项目设置
Save proxy history logging options	保存代理历史日志选项
Save proxy history logging settings	保存代理历史记录设置
Save Proxy history logging settings	保存代理历史记录设置
Save proxy interception options	保存代理接口选项
Save proxy interception settings	保存代理拦截设置
Save Proxy interception state settings	保存代理拦截状态设置
Save proxy listeners options	保存代理监听选项
Save proxy listeners settings	保存代理监听器设置
Save Python environment options	保存Python环境选项
Save Python environment settings	保存Python环境设置
Save redirections options	保存重定向选项
Save redirections settings	保存重定向设置
Save redirects settings	保存重定向设置
Save report	报告保存
Save request engine options	保存请求引擎选项
Save request headers options	保存请求标头选项
Save request interception rules settings	保存请求拦截规则设置
Save response interception rules settings	保存响应拦截规则设置
Save response modification options	保存响应修改选项
Save response modification rules settings	保存响应修改规则设置
Save response modification settings	保存响应修改设置
Save rest api options	保存REST API选项
Save rest api settings	保存REST API设置
Save REST api settings	保存REST api设置
Save results table	结果表的保存
Save Ruby environment options	保存Ruby环境选项
Save Ruby environment settings	保存Ruby环境设置
Save scan issue options	保存扫描项目选项
Save schedule tasks settings	保存计划任务设置
Save scheduled tasks options	保存调度任务选项
Save scheduled tasks settings	保存计划任务设置
Save selected items	保存所选项目
Save server SSL certificates options	保存服务器SSL证书选项
Save session handling rules options	保存会话处理规则选项
Save session handling rules settings	保存会话处理规则设置
Save settings	保存设置
Save SOCKS proxy options	保存SOCKS代理选项
Save SOCKS proxy settings	保存SOCKS代理设置
Save spider engine options	保存Spider引擎选项
Save spider scope options	保存Spider范围选项
Save SSL negotiation options	保存SSL协商选项
Save SSL negotiation workarounds options	保存SSL协商避免策略选项
Save SSL passthrough options	保存SSL传递选项
Save startup behavior settings	保存启动行为设置
Save state	状态保存
Save state wizard	状态保存向导
Save static code analysis options	保存静态代码解析选项
Save status 100 response handling settings	保存状态100的响应处理设置
Save status 100 responses options	保存状态100响应选项
Save status 100 responses settings	保存状态100响应设置
Save streaming responses options	保存流媒体响应选项
Save streaming responses settings	保存流媒体响应设置
Save successful: (.*)	已成功保存: $1
Save tab view settings	保存标签视图设置
Save target analysis report	保存对象分析报告
Save target scope options	保存目标跟踪选项
Save Target scope settings	保存目标范围设置
Save target scope settings	保存目标范围设置
Save Tasks options	保存任务选项
Save Tasks settings	保存任务设置
Save temporary files location options	保存临时文件位置选项
Save temporary files location settings	保存临时文件的位置设置
Save the display filter options	保存显示器过滤器选项
Save timeouts options	保存超时选项
Save timeouts settings	保存超时设置
Save TLS negotiation options	保存TLS协商选项
Save TLS negotiation settings	保存TLS协商设置
Save TLS negotiation workarounds options	保存TLS协商避免策略选项
Save TLS pass through settings	保存TLS传递设置
Save TLS passthrough options	保存TLS传递选项
Save TLS passthrough settings	保存TLS传递设置
Save to file	保存在文件中
Save to file:	保存在文件中:
Save to library	保存在库中
Save to project file	保存在项目文件中
Save token analysis options	保存令牌解析选项
Save token analysis settings	保存令牌分析设置
Save token handling options	保存令牌处理选项
Save token handling settings	保存令牌处理设置
Save tokens	保存令牌
Save Update settings	保存更新设置
Save update settings	保存更新设置
Save upstream proxy servers options	保存上游代理服务器选项
Save upstream proxy servers settings	保存上游代理服务器设置
Save user interface options	保存用户界面选项
Save user interface settings	保存用户界面设置
Save user options	用户选项保存
Save user settings	保存用户设置
Save view filter options	保存显示过滤器选项
Save WebSocket interception rules settings	保存WebSocket拦截规则设置
Save widget options	保存小部件选项
Save widget settings	保存小部件设置
Saved configuration files	保存配置文件
Saved preferences	已保存的设置
Saving an attack in progress	保存正在进行的攻击
Saving project	项目保存中
Saving project ([0-9]+)% complete	项目保存中: $1%完了
Saving project...	项目保存中...
Saving Server Responses	保存服务器响应
Saving to project file	保存在项目文件中
Saving: ([0-9]+)% complete	保存中: $1%完了
Scan	扫描
Scan accuracy:	扫描精度:
Scan again	重新扫描
Scan Configuration	扫描设置
Scan configuration	扫描设置
Scan configurations and modes are groups of settings that define how a scan is performed. Scan modes offer preset options designed to let you trade off speed and coverage. Alternatively, you can select one or more custom configurations. Burp Scanner applies any selected configurations in order, enabling you to fine-tune scanning behaviour.	扫描配置和模式是定义如何进行扫描的一组设置。扫描模式提供了预设的选项，旨在让你在速度和覆盖范围之间进行权衡。或者，您可以选择一个或多个自定义配置。Burp扫描器按顺序应用任何选定的配置，使您能够微调扫描行为。
Scan defined insertion points	扫描定义的插入点
Scan details	扫描细节
Scan everything	扫描全部
Scan from a URL	从URL扫描
Scan Issues	扫描项目
Scan item ([0-9]+) \| ([0-9]+) issues? \| ([0-9]+)% complete \| (.*)	扫描项目$1 | $2件的问题 | $3%完了 | $4
Scan item ([0-9]+) \| ([0-9]+) issues? \| cancelled \| (.*)	扫描项目$1 | $2件的问题 | 已取消 | $3
Scan item ([0-9]+) \| ([0-9]+) issues? \| finished \| (.*)	扫描项目$1 | $2件的问题 | 完成 | $3
Scan item ([0-9]+) \| ([0-9]+) issues? \| waiting \| (.*)	扫描项目$1 | $2件的问题 | 待机中 | $3
Scan manually resumed. Configured maximum crawl and audit time will be ignored.	手动恢复扫描。配置的最大爬行和审计时间将被忽略。
Scan next	然后扫描
Scan queue	扫描队列
Scan queue help	扫描队列帮助
Scan speed:	扫描速度:
Scan Type	扫描类型
Scan type	扫描类型
Scan type:	扫描类型:
Scan using HTTP & HTTPS	使用HTTP和HTTPS扫描
Scan using my specified protocols	使用指定协议扫描
Scanner:	扫描
Schedule task	计划任务
Schedule tasks	计划任务
Scheduled tasks	计划任务
Scheduled Tasks	计划任务
Scope	范围
Scope settings	范围设置
Scope:	范围:
Scrolling view	滚动视图
Search	搜索
Search cancelled	搜索被取消了
Search completed	搜索结束了
Search completed [dynamic search active]	搜索完成了 [动态搜索有效]
Search options	搜索选项
Search responses for payload strings	查找有效载荷字符串的响应
Search tabs	搜索标签
Search...	搜索...
Searching:(.*)	正在搜索中:$1
seconds	秒
See how to use Burp Suite's main features and tools.	了解如何使用Burp Suite的主要功能和工具。
See more	继续看
See the documentation for more details on using Burp Clickbandit.	有关如何使用Burp Clickbandit的详细信息，请参阅文档。
Select	选择
Select a directory	目录选择
Select a directory containing custom payload lists	请选择自定义有效载荷列表所在的目录
Select a file	选择一个文件
Select a WebSocket to attach to or create a new one.	请选择要结合的WebSocket，或新建。
Select all	所有的选择
Select an action to change its hotkey. All hotkeys must use the Command key (on Mac) or the Control key (on Windows), and may also use modifiers such as Shift.	选择一个动作来改变其热键。所有热键必须使用Command键（在Mac上）或Control键（在Windows上），也可以使用Shift等修饰词。
Select BApp File	请选择BApp文件
Select bits to flip:	选择要反转的位:
Select by scan type:	按扫描类型选择:
Select columns	选择列
Select configurations to control how the scan is carried out. You can select multiple configurations, and these will be applied in turn to determine the final configuration that is used for the scan. If no configurations are selected, then Burp Scanner's default settings will be used.	请选择控制扫描执行方法的设置。您可以选择多个设置，这些设置将按顺序应用，最终确定用于扫描的设置。如果未选择设置，则使用Burp Scanner的默认设置。
Select decoder	解码器选择
Select directory ...	目录选择 ...
Select directory for log file	选择日志文件的目录
Select existing connection	选择现有连接
Select extension	选择扩展
Select extension...	选择扩展...
Select file ...	文件选择 ...
Select folder	请选择文件夹
Select folder ...	选择文件夹选择 ...
Select folder to save file	选择文件夹来保存文件
Select folder to save file	选择要保存文件的文件夹
Select folder...	选择一个文件夹...
Select font	请选择字体
Select from library	从库中选择
Select generator ...	生成器选择 ...
Select how HTTP request messages should appear in the report.	请选择将HTTP请求消息上传到报告中的方法。
Select how HTTP response messages should appear in the report.	请选择将HTTP响应消息上传到报告中的方法。
Select individual issues:	个别选择问题:
Select item ([0-9]+):	选择项目$1:
Select license file	选择许可证文件
Select license key file ...	选择许可证密钥文件 ...
Select Live Capture Request	实时捕捉请求选择
Select live capture request	选择实时捕捉请求
Select macro:	选择宏:
Select next message received	自动选择下一条要接收的消息
Select none	取消选择
Select one or more characters	您要解码的字符
Select payload generator	选择有效载荷生成器
Select processor:	扩展选择:
Select project file to import	选择要导入的项目文件
Select rule type	请选择规则类型
Select the "extract grep" item from which to derive payloads:	选择"提取 grep"项来获取payload:
Select the certificate file	选择证书文件
Select the certificate to use. If no certificates are shown, or some details are missing, enter your PIN and click "Refresh". You can double-click on an item to view the full details of the certificate.	请选择要使用的证书。如果证书不显示或缺少部分细节，请输入PIN并单击“刷新”。双击项目可查看证书的详细信息。
Select the configuration that you would like to load for this project.	请选择要导入此项目的设置。
Select the detection methods that will be used when checking for (.*)\.	$1选择在检查中使用的检测方法。
Select the extension-provided payload generator that you want to use. Burp extensions can be loaded using the Extender tool.	从生成有效载荷的扩展中选择要使用的。Burp扩展可以在Extender中加载。
Select the file containing the CA certificate to import.	选择包含要导入的CA证书的文件。
Select the file containing the keystore to import, and the password for the keystore.	选择包含要导入的密钥库的文件，然后输入密钥库的密码。
Select the file containing the private key to import.	选择包含要导入的私钥的文件。
Select the file containing your PKCS#12 certificate, and enter the password for the certificate.	PKCS#12请选择包含证书的文件，然后输入该证书的密码。
Select the file from which to read payloads at runtime	选择要在运行时加载有效载荷的文件
Select the file where the report will be saved.	请选择要保存报告的文件。
Select the folder where Burp Infiltrator should be saved:	请选择要保存Burp Infiltrator的文件夹:
Select the folder where the download will be saved.	请选择要保存下载的文件的文件夹。
Select the folder where the new version of Burp will be saved.	选择要保存 Burp 新版本的文件夹。
Select the input file from which Burp's state will be loaded.	选择要加载Burp状态的文件。
Select the items from the proxy history that you wish to include in the macro, and click "OK". Note that to record a macro now using your browser you will need to ensure that proxy interception is turned off.	选择要包含在宏中的代理历史记录项目，然后单击“确定”。请注意，现在要使用浏览器记录宏，您需要确保代理拦截已关闭。
Select the items on the basis of which Burp will match individual requests in one site map with requests in the other site map. The default settings will work effectively for most situations.	请选择一个项目，使每个站点地图的每个请求与Burp相匹配。在大多数情况下，它在默认设置中有效工作。
Select the location in the response where the token appears.	请选择响应中出现令牌的位置。
Select the locations where Burp will search for PKCS#11 library files, then click "Search". Subdirectories are automatically searched.	选择要搜索PKCS#11库文件的位置，然后单击“搜索”。子目录将自动搜索。
Select the name of the new project file.	请选择新建项目文件名。
Select the output file to which Burp's state will be saved.	选择要保存Burp状态文件的输出文件。
Select the parameters to relocate within the request. Moving parameters can help to evade some filters, but results in many more scan requests.	请在请求中选择要重新定位的参数。移动参数可以避免某些过滤器，但会导致更多扫描请求。
Select the project file from which to load this site map.	请选择要导入此站点地图的项目文件。
Select the project file to import.	选择要导入的项目文件。
Select the source to use for this site map.	请选择要用作此站点地图的输入。
Select the state file from which to load this site map.	请选择要导入此站点地图的状态文件。
Select the tools that this rule will be applied to.	请选择要应用规则的工具。
Select the tools whose traffic will be inspected to select items that are processed by the live scan.	检查流量并选择要在实时扫描中处理的项目的工具。
Select the tools whose traffic will be inspected to select items that are processed by the live task.	检查流量并选择要在实时任务中处理的项目的工具。
Select the type of application that you want to instrument:	请选择要工具化的应用程序类型: 
Select the type of task you want to run.	请选择要执行的任务的类型。
Select the types of details to include in the report.	请选择要包含在报告中的详细信息。
Select the types of issues to include in the report.	请选择要包含在报告中的问题。
Select this option to persist your attack to the project file.	选择此选项将始终在项目文件中保存攻击。
Select to use regular expression matching. Deselect to make matches literal.	选择作为正则表达式搜索。如果取消选择，则搜索为字符串。
Select WebSocket	WebSocket选择
Select whether items to be processed are deduplicated based on their URL and parameter names. Use this option to avoid processing the same item more than once.	请根据URL和参数名称，选择是否重复排除要处理的项目。使用此选项，您将不再多次处理相同的项目。
Select whether items to be processed are deduplicated based on their URL and parameter names. Use this option to avoid scanning the same item more than once.	请根据URL和参数名称，选择是否重复排除要处理的项目。使用此选项，您将不再多次扫描相同的项目。
Selected	已选择
Selected character	所选字符
SELECTED CHARACTER	选中字符
Selected file is a Burp state file	所选文件是Burp的状态文件
Selected generator:	选定的生成器:
Selected rows	选择的行
Selected text	所选文本
SELECTED TEXT	选中文本
Selection	选择
Selection \(([0-9]+)\)	选择 ($1)
Send	发送
Send (current tab)	发送(当前标签)
Send group (separate connections)	发送组(单独连接)
Send group (single connection)	发送组(单一连接)
Send group in sequence (separate connections)	依次发送组(单独连接)
Send group in sequence (single connection)	依次发送组(单一连接)
Send requests here from other tools to configure a live capture. Select the request to use, configure the other options below, then click "Start live capture".	从其他工具向实时捕捉设置发送请求。选择要使用的请求，设置其他选项，然后单击“开始实时捕捉”。
Send to (Comparer|Decoder|Intruder|Repeater|Sequencer|Spider)	发送到 $1
Send to Comparer (request)	发送到Comparer(请求)
Send to Comparer (requests)	发送到Comparer(请求)
Send to Comparer (response)	发送到Comparer(响应)
Send to Comparer (responses)	发送到Comparer(响应)
Send WebSocket Message	WebSocket消息发送
Sensitive	区分大小写字母
Separator for position ([0-9]+)	位置$1分隔符
September	9月
Sequencer	排序器
Sequencer settings	定序器设置
Sequencer:	排序
Sequential	连续
Serialized object in HTTP message(\s+\[[0-9]+\])?	HTTP消息中的序列化对象$1
Server location:	服务器位置:
Server responses	服务器响应
Server SSL Certificates	服务器SSL证书
Server TLS Certificates	服务器TLS证书
Server TLS certificates	服务器TLS证书
Server-level issues	服务器级别问题
Server-side code injection	服务器端代码注入
Server-side JavaScript code injection(\s+\[[0-9]+\])?	服务器端JavaScript代码注入$1
Server-side template breakout	服务器端模板操作
Server-side template injection (requires reflected XSS)	服务器端模板注入(依赖反射型XSS)
Server-side template injection(\s+\[[0-9]+\])?	服务器端模板注入$1
Server-side variable names	服务端变量名称
Service running	服务启动中
Service URL:	服务UR:
Session handling	会话处理
Session handling action editor - (.*)	会话处理动作编辑器 - $1
Session handling rule editor	会话处理规则编辑器
Session Handling Rules	会话处理规则
Session handling rules	会话处理规则
Session handling tracer	会话处理跟踪器
Session handling tracer help	会话处理跟踪帮助
Session handling tracer [paused]	会话处理跟踪器 [停止]
Session is not running	会话正在停止中
Session is running	会话正在运行中
Session token in URL(\s+\[[0-9]+\])?	URL中的会话令牌$1
Sessions	会话
Set "Connection close" on incoming requests	为接收请求设置"Connection close"
Set "Connection close" on incoming requests when using HTTP/1	使用HTTP/1时对传入请求设置"Connection close"
Set "Connection" header on incoming requests when using HTTP/1	当使用HTTP/1时，在传入的请求上设置"Connection"标头
Set a specific cookie or parameter value	设置指定的cookie或参数值
Set a specific header value	设置一个特定的标题值
Set confidence	设置置信度
Set Connection header	设置Connection标头
Set Connection: close	Connection: 设为close
Set response header "Connection: close"	在响应头中设置"Connection: close"
Set severity	设置严重性
Set the details by pasting a URL	粘贴URL并设置详细信息
Set unmatched fields to:	将不匹配的字段设置为:
Settings	设置
Settings and history	设置和历史
Severity	危险程度
Short words	简短单词
Shortest:	最短:
Show	显示
Show all	全部显示
Show all differences between the two responses	显示两个响应之间的所有差异
Show details	显示细节
Show full documentation	显示完整文档
Show full help	显示完整帮助
Show Hidden Tabs	显示隐藏的标签
Show in UI	UI里面显示
Show issue definition	显示问题定义
Show new history window	显示新的历史记录窗口
Show new site map window	在新窗口中查看站点地图
Show non-printable chars	显示不可打印的字符
Show only commented items	仅显示注释项目
Show only highlighted items	仅显示高亮项目
Show only in-scope items	仅显示范围内项目
Show only in-scope items (Suite scope)	仅显示范围内项目(suite范围)
Show only parameterized requests	仅显示带参数的请求
Show only requested items	仅显示请求的项目
Show only:	仅显示:
Show or hide the Learn tab	显示或隐藏学习选项卡。
Show progress dialog during backups	在备份过程中显示进度对话框
Show response in browser	在浏览器中查看响应
Show the crawl in a headed browser	显示浏览器屏幕并抓取
Show the Learn tab	显示学习选项卡
Show this dialog during backups	在备份过程中显示此对话框
Showing all items	查看所有项目
Showing selected items	正在查看所选项目
Showing selected items 	正在查看所选项目 
Shut down Burp and launch downloaded file	关闭Burp并启动下载的文件
Shut down Burp and run new version	关闭Burp并启动新版本
Significance Levels	显著性水平
Silverlight cross-domain policy(\s+\[[0-9]+\])?	Silverlight跨域策略$1
Simple list	简单列表
Simple string	简单字符串
Simulate manual testing	模拟手动测试
Simulation running	模拟执行
Site map	站点地图
Site Map ([0-9]+)	站点地图$1
Site map documentation	站点地图的文档
Site map help	站点地图帮助
Site map is empty	站点地图为空
Size	尺寸
Skip all tests for these parameters:	跳过所有这些参数的测试:
Skip checks unlikely to be effective due to insertion point's base value	跳过对似乎没有影响的插入点的本值的检查
Skip if matches regex	匹配正则表达式时跳过
Skip server-side injection tests for these parameters:	跳过针对这些参数的服务器端注入测试:
Slot	插槽
Smart decode	智能解码
SMTP Conversation	SMTP通信
SMTP header injection(\s+\[[0-9]+\])?	SMTP报头注入$1
Sniper	狙击手(Sniper)
Sniper attack, (.*)	狙击手, $1
Social security numbers disclosed(\s+\[[0-9]+\])?	社会保障号码泄露$1
SOCKS proxy	SOCKS代理
SOCKS Proxy	SOCKS代理
SOCKS proxy host:	SOCKS代理主机:
SOCKS proxy port:	SOCKS代理端口:
Some items could not be cleaned up.	我无法删除一些项目。
Some macros are being used by session handling rules and cannot be deleted.	某些宏不能被删除，因为它是在会话处理规则中使用的。
Some of the specified URLs to scan are out of scope.	扫描中指定的URL的一部分不在范围之外。
Some of these items are outside the current spidering scope. Would you like to modify the scope to include the items?	这些项目的一部分不在当前的巡逻范围之外。修改范围以包含此项目？
Some of these items are outside the current target scope. Are you sure you want to perform an active scan?	这些项目的一部分不在当前范围内。可以进行主动扫描吗？
Some passwords were encrypted using a different master password. Please enter the master password for the following configuration.	有些密码是用另一个主密码加密的。请输入以下设置的主密码。
Source	来源
